"Name","learning_rate","similarity","layer_sizes","weight_decay","n_conv_layers","dropout","_wandb","validation_r2_fold_4","cv_validation_average_r","train_mse_fold_0","final_validation_mse_fold_2","final_validation_r_fold_4","final_validation_r2_fold_1","train_r_fold_4","train_r2_fold_0","train_mse_fold_2","cv_validation_average_mse","validation_r2_fold_1","train_r_fold_2","final_validation_r2_fold_0","final_validation_r_fold_0","train_r_fold_3","train_mse_fold_1","train_r2_fold_3","validation_mse_fold_1","train_r2_fold_4","final_validation_r2_fold_2","train_r2_fold_2","train_mse_fold_4","validation_r_fold_0","validation_r_fold_2","cv_validation_average_r2","validation_r_fold_3","validation_mse_fold_2","final_validation_r_fold_1","final_validation_mse_fold_3","train_r2_fold_1","train_mse_fold_3","validation_mse_fold_4","validation_r_fold_1","final_validation_mse_fold_4","final_validation_r2_fold_4","train_r_fold_0","train_r_fold_1","final_validation_mse_fold_0","validation_r2_fold_0","validation_r2_fold_3","validation_r_fold_4","validation_mse_fold_0","final_validation_mse_fold_1","final_validation_r_fold_2","validation_r2_fold_2","final_validation_r_fold_3","final_validation_r2_fold_3","validation_mse_fold_3"
"summer-sweep-50-fold-4","0.006983971690381263","(['SEX', 'ICD10', 'FI', 'FTE', 'MEM'], 0.9)","[1024, 512, 512, 256, 256, 1]","0.0131183268667468","5","0.32194083316663824","null","0.17392249323224096","[0.7098480072291622,0]","12.939878463745115","27.113853454589844","[0.7095156613468097,0]","0.5058305682100515","0.748598832417809","0.7683183164165623","54.350364685058594","28.045074462890625","-1.2930801598050614","0.535140558035845","0.491006882648385","[0.7088091970691921,0]","0.6725352307894762","124.19913482666016","0.3145127254918606","129.0515594482422","0.5271632134328437","0.5084817691314987","0.02967777449406328","26.335983276367188","0.6826710187118937","0.397349443722171","0.49775644377090433","0.4944708311536467","70.51229858398438","[0.7158250002032253,0]","28.58544158935547","-1.228427692970364","38.33708190917969","46.61334228515625","-0.04786370508421568","28.305063247680664","0.4983802340327145","0.8908455585984789","-0.024126921678184192","28.40980529785156","0.4536490478138724","-0.0769385853022646","0.5501831499441232","30.494958877563477","27.811208724975582","[0.7138105142100741,0]","-0.2782425569726652","[0.7012796633165099,0]","0.48508276483187174","59.785850524902344"
"flowing-sweep-61-fold-4","0.006187260126169093","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[1024, 512, 512, 512, 256, 256, 1]","0.0020835932635025387","3","0.042080138909615594","null","0.46990193036018346","[0.7042792789490768,0]","1.317448973655701","27.83806800842285","[0.7066580580068083,0]","0.4976216447394517","0.9887454453715174","0.9764117727710794","1.5747103691101074","28.372438430786133","0.3847716792769532","0.9859495000440336","0.48605106521910857","[0.7040143790577951,0]","0.9599435152576374","5.677607536315918","0.9123895560354492","34.624244689941406","0.9774714021651916","0.4953532525253512","0.9718865450239744","1.2547938823699951","0.6969239412086602","0.6951885512612594","0.4918799151077501","0.672953726767592","29.588037490844727","[0.7054645838517555,0]","28.60481071472168","0.8981302197031732","4.899767875671387","29.912017822265625","0.6523248752070441","28.459699630737305","0.4956397631276359","0.9885164826329358","0.947742406449288","28.686418533325195","0.4657361057270567","0.4441817530746768","0.6961519305222434","29.8203125","28.273195266723633","[0.7061591373231205,0]","0.46362986693711183","[0.6991002365059049,0]","0.4847338499272027","30.85604476928711"
"electric-sweep-30-fold-4","0.0050954368376260354","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[1024, 512, 256, 128, 128, 1]","0.016171046376906723","1","0.048595537070782735","null","-0.1902276819930384","[0.7007915945877421,0]","13.561368942260742","28.717859268188477","[0.7035426669499019,0]","0.4991223727622909","0.7384308586915473","0.7571908792442119","17.176511764526367","28.52359619140625","-0.1382973265000591","0.8345367088768044","0.4945684195232672","[0.7037947355800219,0]","0.8336610401060035","42.1328239440918","0.6942150027336031","64.06188201904297","0.30851098225549944","0.47940443279541345","0.6933460932246174","38.51443862915039","0.6501634284539282","0.6645844887615671","0.48914424628694386","0.6224004198617943","31.88591957092285","[0.7074797532704962,0]","28.685136795043945","0.24403695839158124","17.101564407348633","67.16136932373047","0.3839937184551499","28.815231323242188","0.48933907454387326","0.8723313815135912","0.5946704091216007","28.211015701293945","0.3598143052714089","0.3569909615105664","0.5175827134716797","35.7324104309082","28.188737869262695","[0.6932982696393085,0]","0.4219740981557676","[0.6958425474989822,0]","0.4832869318098747","35.6964111328125"
"youthful-sweep-77-fold-4","0.004731121299114848","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[512, 512, 512, 256, 128, 1]","0.00251714121630554","2","0.237940322006624","null","0.2186470565683114","[0.7000994553788613,0]","13.484721183776855","27.403358459472656","[0.7061104958807551,0]","0.4704784528116741","0.8779156536916397","0.7585632243951876","16.809091567993164","28.85345039367676","0.1419280008370356","0.8620984967851443","0.4650550103276042","[0.6846188494241552,0]","0.8892553107783808","17.528560638427734","0.7600370386879252","48.29116439819336","0.7390637228043133","0.5032336302414261","0.6999057185050566","14.533583641052246","0.5594674401398564","0.6065868085397955","0.4833285335281515","0.6129500148801028","44.69581604003906","[0.695458112066512,0]","28.64630126953125","0.6854959192564893","13.420350074768066","44.089656829833984","0.5589029616136849","28.55848503112793","0.4938891000193675","0.8788048520489653","0.8488862477002375","29.858327865600582","0.22647584022264533","0.2576809665627471","0.6042764636895614","43.1747932434082","29.800779342651367","[0.7122666151406618,0]","0.18975702002757677","[0.7020432043822225,0]","0.48398647424068586","41.209571838378906"
"scarlet-sweep-74-fold-4","0.01579633215817787","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[1024, 512, 256, 128, 128, 1]","0.003113843584410652","5","0.3754424425123637","null","0.43634618723387586","[0.6989406541235141,0]","11.838461875915527","28.475820541381836","[0.7123489497278118,0]","0.4805008140584729","0.9813743185749172","0.7880386052554587","19.263517379760746","28.875276947021483","0.4574644101104369","0.8349008316011709","0.47136746836133","[0.6879013612870256,0]","0.8721838384366326","2.28322172164917","0.7605207719296514","30.533191680908203","0.9573418495105308","0.483792102351132","0.6560865750463586","2.375966310501098","0.5886956647096439","0.5408033789871565","0.48288327107551055","0.6007334354091052","50.51895523071289","[0.6947742835939357,0]","28.4803466796875","0.9590335727416918","13.393296241760254","31.805477142333984","0.6852905336971342","28.677490234375","0.49178010602409394","0.8893282294223257","0.9803629879796104","29.505992889404297","0.23801108677569827","0.3039101813098858","0.69874347737605","42.53094100952149","29.23673439025879","[0.6994393921097604,0]","0.0841955454310408","[0.7002392838990377,0]","0.48697586458252407","38.64316940307617"
"young-sweep-17-fold-4","0.010272562225163012","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[1024, 512, 256, 128, 128, 1]","0.005340796333514823","3","0.3869980398211871","null","0.14025590884056416","[0.6958769303528729,0]","56.65003967285156","27.65993309020996","[0.6927719497379868,0]","0.47115486963072895","0.7430897966322777","-0.014288965995485016","32.494544982910156","29.02051658630371","0.07404904037222737","0.7155600827773289","0.4779209385254485","[0.6918821232206938,0]","0.7120205043901715","32.970733642578125","0.3870185189632922","52.11130905151367","0.4762134906926632","0.4985824715724741","0.4198717748734147","29.17377281188965","0.35775312855146785","0.5037897114036678","0.4803489936230213","0.4995286742626579","55.77470397949219","[0.6931678216216428,0]","29.096481323242188","0.4084266030167566","34.282066345214844","48.5130615234375","0.5026500847559273","29.443248748779297","0.4782094096434806","0.4996609581990209","0.6986445790866538","29.140207290649418","-0.3139975575805658","-0.05145688587371056","0.5555860973624862","73.34169006347656","29.762712478637695","[0.7063747770259314,0]","-0.01108033092616001","[0.6951879801581095,0]","0.4758772787429745","58.37124252319336"
"dashing-sweep-54-fold-4","0.0045256633162680015","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[1024, 512, 256, 128, 128, 1]","0.002351388193505844","2","0.26849405413095573","null","0.2011513641172683","[0.6945821320902276,0]","15.899333000183104","28.80356788635254","[0.7019158216185543,0]","0.4774778141453117","0.8704882186366786","0.7153308411709405","15.590699195861816","29.119125747680663","0.24010036618703","0.8876298965877545","0.4669753355746637","[0.6837737876832309,0]","0.8529450543668242","15.068085670471191","0.6550718494461854","42.76615905761719","0.7211674140150872","0.4778507252330071","0.721657776640979","15.530369758605955","0.5776611246024588","0.6136992917848356","0.478500258062949","0.563700272078127","45.669700622558594","[0.6921982690641979,0]","28.88902473449707","0.7296426971991157","19.290714263916016","45.0768928527832","0.6083591493563042","28.74502944946289","0.4905831790071036","0.864706943359556","0.8823750398952888","29.751142501831055","0.1886910882556473","0.1066819413633826","0.5839818847754087","45.28376770019531","29.40686416625977","[0.6964048830835728,0]","0.1721024549067488","[0.6986178990015823,0]","0.4796142363546586","49.59222030639648"
"woven-sweep-27-fold-4","0.00569925808192934","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[1024, 512, 256, 128, 128, 1]","0.03758771377121092","3","0.05991964420060969","null","0.05799242048244857","[0.6922188045332194,0]","26.07873153686523","28.7952823638916","[0.7008411846426895,0]","0.4818470836748707","0.44700691754997046","0.5330741435126696","21.73879051208496","29.173485946655273","0.3237511040633224","0.7915464557968355","0.46280860242598654","[0.6805624182546326,0]","0.685321352564015","26.507984161376953","0.4143179848064372","38.05840301513672","0.1455891746930793","0.4780009241638138","0.6118952695019182","47.588829040527344","0.6614248159119038","0.6693326575169761","0.47752028670299407","0.5992967937359892","32.90104675292969","[0.6942881536800466,0]","29.070173263549805","0.5243837227386574","32.75529479980469","53.154972076416016","0.611579097131034","28.8572940826416","0.4885936489584699","0.7368919111837845","0.73344135117002","29.983713150024418","0.41009436764273566","0.2866911648058723","0.37881474075330096","32.925994873046875","29.160966873168945","[0.6942449596190878,0]","0.403571912785349","[0.6911573064696402,0]","0.47635117429182927","39.599082946777344"
"dainty-sweep-46-fold-4","0.0035035861395535123","(['SEX', 'ICD10', 'MEM', 'FI'], 0.8)","[2048, 1024, 512, 256, 128, 1]","0.01894284554580028","4","0.4264908648786356","null","0.03348802703735909","[0.6895172047484973,0]","47.329246520996094","29.015533447265625","[0.7089492442403993,0]","0.45929453497975326","0.5288536513026337","0.15259489216951894","40.839622497558594","29.49111404418945","-0.0736263865032345","0.6390617780581689","0.4715546617407709","[0.6898323436651017,0]","0.480594924993315","56.21446228027344","0.0411695202633956","60.42229080200195","0.1148028440046891","0.47400822841843415","0.27088627230985185","49.30356216430664","0.45692338323677106","0.5308615561928802","0.47181276481284823","0.4291918206376221","53.227535247802734","[0.679992421060996,0]","30.23259162902832","-0.008621164990074481","53.62428283691406","54.53768539428711","0.33707558799781456","28.28170585632324","0.4987941784969559","0.5506887188519268","0.3707089620893992","29.49554443359375","-0.001022171908270364","-0.0460981610598028","0.48801595207991166","55.87274932861328","30.430194854736328","[0.6894907591380667,0]","0.03509465703049364","[0.6793212556379227,0]","0.45541222042832674","58.073753356933594"
"fallen-sweep-47-fold-4","0.013029852138182488","(['SEX', 'ICD10', 'MEM', 'FTE'], 0.8)","[512, 512, 512, 256, 128, 1]","0.0011194118055831992","5","0.35811158088890316","null","0.3981843357949886","[0.6939426032566216,0]","4.5942463874816895","29.548038482666016","[0.6978329744223422,0]","0.46599733464245463","0.9596380191716246","0.917742446592972","1.5774967670440674","29.74815368652344","0.4256734380274936","0.9859249643304566","0.4668545990655611","[0.6930959269430871,0]","0.9857093890455492","2.678591012954712","0.96846568511088","32.32234573364258","0.9192425588859308","0.46435499868172914","0.9718367987944933","4.498013973236084","0.6791738158870483","0.6824833705261253","0.4672337339108855","0.6830199978307834","30.577119827270508","[0.6910079526472408,0]","29.78461265563965","0.9519397063883134","1.7636120319366455","33.95884704589844","0.6702253576334306","29.59726333618164","0.47547996813194815","0.9582107679696946","0.9761745654130418","29.757883071899418","0.4191922102979804","0.4137100336093025","0.675729051078066","32.418190002441406","30.05297088623047","[0.7002554960938363,0]","0.4456998689062487","[0.6875206661766022,0]","0.46348176903273464","32.547672271728516"
